GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
01001,Autauga,Alabama,AL,1539631459,2036,ssp126,Low emissions (SSP126),projected,65.29166666666667,18.495370370370374,16.4001522064209,-2.0952181639494754,2138
01001,Autauga,Alabama,AL,1539631459,2036,ssp245,Medium emissions (SSP245),projected,65.29166666666667,18.495370370370374,16.52057647705078,-1.9747938933195925,2466
01001,Autauga,Alabama,AL,1539631459,2036,ssp585,High emissions (SSP585),projected,65.29166666666667,18.495370370370374,16.72316551208496,-1.7722048582854129,2198
01003,Baldwin,Alabama,AL,4117781416,2036,ssp126,Low emissions (SSP126),projected,68.45833333333334,20.254629629629633,19.450510025024414,-0.8041196046052193,771
01003,Baldwin,Alabama,AL,4117781416,2036,ssp245,Medium emissions (SSP245),projected,68.45833333333334,20.254629629629633,19.428991317749023,-0.8256383118806099,1485
01003,Baldwin,Alabama,AL,4117781416,2036,ssp585,High emissions (SSP585),projected,68.45833333333334,20.254629629629633,19.63956642150879,-0.6150632081208443,1046
01005,Barbour,Alabama,AL,2292160151,2036,ssp126,Low emissions (SSP126),projected,65.98333333333333,18.879629629629633,17.550033569335938,-1.3295960602936958,1280
01005,Barbour,Alabama,AL,2292160151,2036,ssp245,Medium emissions (SSP245),projected,65.98333333333333,18.879629629629633,17.442306518554688,-1.4373231110749458,1990
01005,Barbour,Alabama,AL,2292160151,2036,ssp585,High emissions (SSP585),projected,65.98333333333333,18.879629629629633,17.99578285217285,-0.8838467774567818,1303
01007,Bibb,Alabama,AL,1612188713,2036,ssp126,Low emissions (SSP126),projected,64.23333333333333,17.90740740740741,15.129417419433594,-2.7779899879738146,2804
01007,Bibb,Alabama,AL,1612188713,2036,ssp245,Medium emissions (SSP245),projected,64.23333333333333,17.90740740740741,15.2112398147583,-2.6961675926491075,2903
01007,Bibb,Alabama,AL,1612188713,2036,ssp585,High emissions (SSP585),projected,64.23333333333333,17.90740740740741,15.6068115234375,-2.3005958839699083,2621
01009,Blount,Alabama,AL,1670259099,2036,ssp126,Low emissions (SSP126),projected,62.25833333333333,16.810185185185183,14.189297676086426,-2.6208875090987576,2696
