year,lat,lon,ssp245,ssp585,difference
2020,25.5,-70.625,0.33898926,0.63797,0.2989807
2020,25.5,-69.375,0.31747437,0.62979126,0.3123169
2020,25.5,-68.125,0.29022217,0.61276245,0.32254028
2020,25.5,-66.875,0.2793274,0.5682678,0.28894043
2020,26.5,-124.37499999999997,0.0105896,0.4991455,0.4885559
2020,26.5,-123.125,0.16464233,0.5906677,0.4260254
2020,26.5,-121.87499999999997,0.2588501,0.69641113,0.43756104
2020,26.5,-120.625,0.32336426,0.7746582,0.45129395
2020,26.5,-119.37499999999997,0.3668213,0.83755493,0.47073364
2020,26.5,-118.125,0.27478027,0.8635559,0.58877563
2020,26.5,-116.87499999999997,-0.008422852,0.848938,0.85736084
2020,26.5,-115.625,-0.07583618,0.9477844,1.0236206
2020,26.5,-114.375,0.27542114,1.1191101,0.84368896
2020,26.5,-113.125,0.74468994,1.2774048,0.53271484
2020,26.5,-111.875,0.6769409,1.2042847,0.52734375
2020,26.5,-110.62500000000003,0.1519165,0.91482544,0.76290894
2020,26.5,-109.375,0.27468872,1.0135193,0.73883057
2020,26.5,-108.12500000000003,0.496521,1.2223511,0.7258301
2020,26.5,-106.875,0.7915039,1.291565,0.50006104
2020,26.5,-105.62499999999997,0.7605896,1.1896057,0.4290161
2020,26.5,-104.375,0.8635254,1.3605652,0.4970398
2020,26.5,-103.125,0.8128052,1.3841553,0.5713501
2020,26.5,-101.875,0.934906,1.3994446,0.46453857
2020,26.5,-100.625,1.0894165,1.5271301,0.43771362
2020,26.5,-99.375,0.84439087,1.8374329,0.993042
2020,26.5,-98.125,0.5334778,1.6142273,1.0807495
2020,26.5,-96.875,0.22982788,1.237854,1.0080261
2020,26.5,-95.625,0.30767822,1.1639404,0.8562622
2020,26.5,-94.375,0.43688965,1.2088318,0.77194214
2020,26.5,-93.125,0.5085449,1.1958923,0.6873474
2020,26.5,-91.875,0.55096436,1.1724548,0.6214905
2020,26.5,-90.625,0.61691284,1.12323,0.50631714
2020,26.5,-89.375,0.65338135,1.0389404,0.38555908
2020,26.5,-88.125,0.6414795,0.9898071,0.34832764
2020,26.5,-86.875,0.6090698,1.001831,0.39276123
2020,26.5,-85.625,0.60684204,1.0622864,0.45544434
2020,26.5,-84.375,0.6494751,1.0944824,0.44500732
2020,26.5,-83.125,0.6690674,1.1289062,0.45983887
2020,26.5,-81.875,0.6537781,1.2781067,0.6243286
2020,26.5,-80.625,0.67471313,1.2634888,0.58877563
2020,26.5,-79.375,0.64559937,0.938324,0.2927246
2020,26.5,-78.125,0.59594727,0.8085022,0.21255493
2020,26.5,-76.875,0.59265137,0.7894592,0.19680786
2020,26.5,-75.625,0.57321167,0.75149536,0.17828369
2020,26.5,-74.375,0.5762329,0.752594,0.17636108
2020,26.5,-73.125,0.5339966,0.73321533,0.19921875
2020,26.5,-71.875,0.47628784,0.6998596,0.22357178
2020,26.5,-70.625,0.44937134,0.68966675,0.24029541
2020,26.5,-69.375,0.4172058,0.68292236,0.26571655
2020,26.5,-68.125,0.36871338,0.67837524,0.30966187
2020,26.5,-66.875,0.3597412,0.65301514,0.29327393
2020,27.5,-124.37499999999997,-0.04397583,0.32113647,0.3651123
