year,scenario,lat,lon,temp_anomaly
2020,ssp245,26.5,-95.625,0.30767822
2020,ssp245,26.5,-94.375,0.43688965
2020,ssp245,26.5,-93.125,0.5085449
2020,ssp245,26.5,-91.875,0.55096436
2020,ssp245,26.5,-90.625,0.61691284
2020,ssp245,26.5,-89.375,0.65338135
2020,ssp245,26.5,-88.125,0.6414795
2020,ssp245,26.5,-86.875,0.6090698
2020,ssp245,26.5,-85.625,0.60684204
2020,ssp245,26.5,-84.375,0.6494751
2020,ssp245,26.5,-83.125,0.6690674
2020,ssp245,26.5,-81.875,0.6537781
2020,ssp245,26.5,-80.625,0.67471313
2020,ssp245,26.5,-79.375,0.64559937
2020,ssp245,26.5,-78.125,0.59594727
2020,ssp245,26.5,-76.875,0.59265137
2020,ssp245,26.5,-75.625,0.57321167
2020,ssp245,26.5,-74.375,0.5762329
2020,ssp245,26.5,-73.125,0.5339966
2020,ssp245,26.5,-71.875,0.47628784
2020,ssp245,26.5,-70.625,0.44937134
2020,ssp245,26.5,-69.375,0.4172058
2020,ssp245,26.5,-68.125,0.36871338
2020,ssp245,26.5,-66.875,0.3597412
2020,ssp245,27.5,-124.37499999999997,-0.04397583
2020,ssp245,27.5,-123.125,0.099487305
2020,ssp245,27.5,-121.87499999999997,0.20602417
2020,ssp245,27.5,-120.625,0.23416138
2020,ssp245,27.5,-119.37499999999997,0.28704834
2020,ssp245,27.5,-118.125,0.28652954
2020,ssp245,27.5,-116.87499999999997,0.11553955
2020,ssp245,27.5,-115.625,-0.010437012
2020,ssp245,27.5,-114.375,0.42959595
2020,ssp245,27.5,-113.125,0.70095825
2020,ssp245,27.5,-111.875,0.38006592
2020,ssp245,27.5,-110.62500000000003,0.32147217
2020,ssp245,27.5,-109.375,0.5654602
2020,ssp245,27.5,-108.12500000000003,0.6079407
2020,ssp245,27.5,-106.875,0.71432495
2020,ssp245,27.5,-105.62499999999997,0.8256531
2020,ssp245,27.5,-104.375,0.98706055
2020,ssp245,27.5,-103.125,0.90548706
2020,ssp245,27.5,-101.875,1.1607056
2020,ssp245,27.5,-100.625,1.0422058
2020,ssp245,27.5,-99.375,0.6992798
2020,ssp245,27.5,-98.125,0.41241455
2020,ssp245,27.5,-96.875,0.1487732
2020,ssp245,27.5,-95.625,0.2194519
2020,ssp245,27.5,-94.375,0.3703003
2020,ssp245,27.5,-93.125,0.46939087
2020,ssp245,27.5,-91.875,0.5299988
2020,ssp245,27.5,-90.625,0.6001282
2020,ssp245,27.5,-89.375,0.6548767
2020,ssp245,27.5,-88.125,0.67303467
2020,ssp245,27.5,-86.875,0.6598511
2020,ssp245,27.5,-85.625,0.65301514
2020,ssp245,27.5,-84.375,0.6789856
2020,ssp245,27.5,-83.125,0.677063
2020,ssp245,27.5,-81.875,0.678833
2020,ssp245,27.5,-80.625,0.74920654
2020,ssp245,27.5,-79.375,0.68426514
2020,ssp245,27.5,-78.125,0.64141846
2020,ssp245,27.5,-76.875,0.6413269
2020,ssp245,27.5,-75.625,0.6401062
2020,ssp245,27.5,-74.375,0.6288452
2020,ssp245,27.5,-73.125,0.58444214
2020,ssp245,27.5,-71.875,0.5520325
2020,ssp245,27.5,-70.625,0.5494385
2020,ssp245,27.5,-69.375,0.5293579
2020,ssp245,27.5,-68.125,0.48562622
2020,ssp245,27.5,-66.875,0.47070312
2020,ssp245,28.500000000000004,-124.37499999999997,-0.030426025
2020,ssp245,28.500000000000004,-123.125,0.07461548
2020,ssp245,28.500000000000004,-121.87499999999997,0.17529297
2020,ssp245,28.500000000000004,-120.625,0.1819458
2020,ssp245,28.500000000000004,-119.37499999999997,0.21777344
2020,ssp245,28.500000000000004,-118.125,0.26229858
