state,state_abbr,year,scenario,scenario_label,temp_anomaly,impact_category,impact_score
Nevada,NV,2030,ssp126,Low emissions,0.9415741,Low impact,1
New Hampshire,NH,2030,ssp126,Low emissions,1.5127869,Medium impact,2
New Jersey,NJ,2030,ssp126,Low emissions,0.7623291,Low impact,1
New Mexico,NM,2030,ssp126,Low emissions,-0.22462402,Low impact,1
New York,NY,2030,ssp126,Low emissions,1.3660278,Medium impact,2
North Carolina,NC,2030,ssp126,Low emissions,0.33103248,Low impact,1
North Dakota,ND,2030,ssp126,Low emissions,1.8836759,Medium impact,2
Ohio,OH,2030,ssp126,Low emissions,0.7593567,Low impact,1
Oklahoma,OK,2030,ssp126,Low emissions,-0.04901827,Low impact,1
Oregon,OR,2030,ssp126,Low emissions,1.9433843,Medium impact,2
Pennsylvania,PA,2030,ssp126,Low emissions,0.9706459,Low impact,1
Rhode Island,RI,2030,ssp126,Low emissions,1.1089783,Low impact,1
South Carolina,SC,2030,ssp126,Low emissions,0.35772705,Low impact,1
South Dakota,SD,2030,ssp126,Low emissions,0.8803711,Low impact,1
Tennessee,TN,2030,ssp126,Low emissions,0.39417335,Low impact,1
Texas,TX,2030,ssp126,Low emissions,0.17805481,Low impact,1
Utah,UT,2030,ssp126,Low emissions,0.9947323,Low impact,1
Vermont,VT,2030,ssp126,Low emissions,1.6302185,Medium impact,2
Virginia,VA,2030,ssp126,Low emissions,0.54442596,Low impact,1
Washington,WA,2030,ssp126,Low emissions,2.3602417,High impact,3
West Virginia,WV,2030,ssp126,Low emissions,0.6735665,Low impact,1
Wisconsin,WI,2030,ssp126,Low emissions,1.2849884,Medium impact,2
Wyoming,WY,2030,ssp126,Low emissions,1.0824152,Low impact,1
Alabama,AL,2040,ssp126,Low emissions,1.796267,Medium impact,2
Alaska,AK,2040,ssp126,Low emissions,0.5137273,Low impact,1
Arizona,AZ,2040,ssp126,Low emissions,1.3710703,Medium impact,2
Arkansas,AR,2040,ssp126,Low emissions,1.6868896,Medium impact,2
California,CA,2040,ssp126,Low emissions,0.76649386,Low impact,1
Colorado,CO,2040,ssp126,Low emissions,1.4320526,Medium impact,2
Connecticut,CT,2040,ssp126,Low emissions,1.1683807,Low impact,1
Delaware,DE,2040,ssp126,Low emissions,1.3798828,Medium impact,2
Florida,FL,2040,ssp126,Low emissions,1.7190944,Medium impact,2
Georgia,GA,2040,ssp126,Low emissions,1.8932922,Medium impact,2
Hawaii,HI,2040,ssp126,Low emissions,0.49705505,Low impact,1
Idaho,ID,2040,ssp126,Low emissions,0.30199128,Low impact,1
Illinois,IL,2040,ssp126,Low emissions,1.7217691,Medium impact,2
Indiana,IN,2040,ssp126,Low emissions,1.713459,Medium impact,2
Iowa,IA,2040,ssp126,Low emissions,1.7619296,Medium impact,2
Kansas,KS,2040,ssp126,Low emissions,1.6951108,Medium impact,2
Kentucky,KY,2040,ssp126,Low emissions,1.6111711,Medium impact,2
Louisiana,LA,2040,ssp126,Low emissions,1.6805267,Medium impact,2
Maine,ME,2040,ssp126,Low emissions,1.2392036,Low impact,1
